	Name	Brand	Price	Old Price	Url	Category	Family	Section
6050	Litewave Endurance W	The North Face 	90.00 €	100.00 €	/the-north-face-litewave-endurance-w/p-93376?idvariedad=379502&opt=d	Calzado	Zapatillas Trail Running	Mujer
6051	Xa Elevate W	Salomon 	110.95 €	129.90 €	/salomon-xa-elevate-w/p-93881?idvariedad=382210&opt=d	Calzado	Zapatillas Trail Running	Mujer
6052	Xa Pro 3D W	Salomon 	84.89 €	129.90 €	/salomon-xa-pro-3d-w/p-79350?idvariedad=316728&opt=d	Calzado	Zapatillas Trail Running	Mujer
6053	Torrent W	Hoka One One 	107.91 €	119.90 €	/hoka-one-one-torrent-w/p-92935?idvariedad=377414&opt=d	Calzado	Zapatillas Trail Running	Mujer
6054	Sense Escape W	Salomon 	65.95 €	109.90 €	/salomon-sense-escape-w/p-79477?idvariedad=316301&opt=d	Calzado	Zapatillas Trail Running	Mujer
6055	Speedcross 4 GTX W	Salomon 	128.35 €	159.90 €	/salomon-speedcross-4-gtx-w/p-79294?idvariedad=317714&opt=d	Calzado	Zapatillas Trail Running	Mujer
6056	Trailster W	Salomon 	79.95 €	99.90 €	/salomon-trailster-w/p-93912?idvariedad=382313&opt=d	Calzado	Zapatillas Trail Running	Mujer
6057	Ultra Endurance II W	The North Face 	111.40 €	130.00 €	/the-north-face-ultra-endurance-ii-w/p-78761?idvariedad=313875&opt=d	Calzado	Zapatillas Trail Running	Mujer
6058	Speedcross 4 W	Salomon 	77.99 €	129.99 €	/salomon-speedcross-4-w/p-64276?idvariedad=256638&opt=d	Calzado	Zapatillas Trail Running	Mujer
6059	Challenger ATR 4 W	Hoka One One 	129.90 €	129.90 €	/hoka-one-one-challenger-atr-4-w/p-92918?idvariedad=377336&opt=d	Calzado	Zapatillas Trail Running	Mujer
6060	Speedcross 4 W	Salomon 	89.95 €	129.90 €	/salomon-speedcross-4-w/p-93889?idvariedad=382239&opt=d	Calzado	Zapatillas Trail Running	Mujer
6061	Speedtrak W	Salomon 	107.91 €	119.90 €	/salomon-speedtrak-w/p-79297?idvariedad=316298&opt=d	Calzado	Zapatillas Trail Running	Mujer
6062	Wave Daichi W	Mizuno 	71.90 €	119.90 €	/mizuno-wave-daichi-w/p-65252?idvariedad=261921&opt=d	Calzado	Zapatillas Trail Running	Mujer
6063	Puregrit 5 W	Brooks 	71.90 €	119.90 €	/brooks-puregrit-5-w/p-63532?idvariedad=252235&opt=d	Calzado	Zapatillas Trail Running	Mujer
6064	Akyra GTX W	La Sportiva 	161.91 €	179.90 €	/la-sportiva-akyra-gtx-w/p-82395?idvariedad=330386&opt=d	Calzado	Zapatillas Trail Running	Mujer
6065	Bushido W	La Sportiva 	134.91 €	149.90 €	/la-sportiva-bushido-w/p-79143?idvariedad=315424&opt=d	Calzado	Zapatillas Trail Running	Mujer
6066	Xa Pro 3D GTX W	Salomon 	104.58 €	144.99 €	/salomon-xa-pro-3d-gtx-w/p-71816?idvariedad=290071&opt=d	Calzado	Zapatillas Trail Running	Mujer
6067	Air Zoom Terra Kiger 2 W	Nike 	125.91 €	139.90 €	/nike-air-zoom-terra-kiger-2/p-44825?idvariedad=180235&opt=d	Calzado	Zapatillas Trail Running	Mujer
6068	Xa Pro 3D W	Salomon 	78.44 €	129.99 €	/salomon-xa-pro-3d-w/p-71823?idvariedad=290279&opt=d	Calzado	Zapatillas Trail Running	Mujer
6069	Xa Elevate W	Salomon 	77.95 €	129.90 €	/salomon-xa-elevate-w/p-79533?idvariedad=316818&opt=d	Calzado	Zapatillas Trail Running	Mujer
6070	Inferno X-lite 2.0 W	Tecnica 	62.10 €	115.00 €	/tecnica-inferno-x_lite-2.0-w/p-48166?idvariedad=189072&opt=d	Calzado	Zapatillas Trail Running	Mujer
6071	Xa Lite W	Salomon 	103.49 €	114.99 €	/salomon-xa-lite-w/p-85112?idvariedad=339588&opt=d	Calzado	Zapatillas Trail Running	Mujer
6072	Trailbreaker W	Dynafit 	68.61 €	120.00 €	/dynafit-trailbreaker-w/p-83548?idvariedad=334645&opt=d	Calzado	Zapatillas Trail Running	Mujer
6073	Trailbreaker W	Dynafit 	84.00 €	120.00 €	/dynafit-trailbreaker-w/p-69795?idvariedad=284457&opt=d	Calzado	Zapatillas Trail Running	Mujer
6074	Ultra Raptor GTX W	La Sportiva 	152.91 €	169.90 €	/la-sportiva-ultra-raptor-gtx-w/p-82397?idvariedad=330233&opt=d	Calzado	Zapatillas Trail Running	Mujer
6075	Trail Glove 4 W	Merrell 	108.00 €	120.00 €	/merrell-trail-glove-4-w/p-90343?idvariedad=369057&opt=d	Calzado	Zapatillas Trail Running	Mujer
6076	Sense Ride W	Salomon 	116.91 €	129.90 €	/salomon-sense-ride-w/p-79347?idvariedad=316389&opt=d	Calzado	Zapatillas Trail Running	Mujer
6077	Bare Access 5 W	Merrell 	73.95 €	110.00 €	/merrell-bare-access-5-w/p-84790?idvariedad=338987&opt=d	Calzado	Zapatillas Trail Running	Mujer
6078	Trail Glove 4 W	Merrell 	79.95 €	120.00 €	/merrell-trail-glove-4-w/p-84839?idvariedad=339073&opt=d	Calzado	Zapatillas Trail Running	Mujer
6079	Light Rush W	Millet 	102.95 €	149.95 €	/millet-light-rush-w/p-95057?idvariedad=386575&opt=d	Calzado	Zapatillas Trail Running	Mujer
6080	Speed Mtn GTX W	Dynafit 	124.20 €	179.90 €	/dynafit-speed-mtn-gtx-w/p-86838?idvariedad=351682&opt=d	Calzado	Zapatillas Trail Running	Mujer
6081	Ultra Pro W	Dynafit 	108.45 €	155.00 €	/dynafit-ultra-pro-w/p-87017?idvariedad=351970&opt=d	Calzado	Zapatillas Trail Running	Mujer
6082	Speed Mtn GTX W	Dynafit 	125.95 €	179.90 €	/dynafit-speed-mtn-gtx-w/p-86839?idvariedad=351684&opt=d	Calzado	Zapatillas Trail Running	Mujer
6083	Trailbreaker W	Dynafit 	90.95 €	129.90 €	/dynafit-trailbreaker-w/p-87014?idvariedad=351967&opt=d	Calzado	Zapatillas Trail Running	Mujer
6084	Trailbreaker W	Dynafit 	98.95 €	129.90 €	/dynafit-trailbreaker-w/p-87015?idvariedad=351968&opt=d	Calzado	Zapatillas Trail Running	Mujer
6085	Speedcross 4 W	Salomon 	99.95 €	129.99 €	/salomon-speedcross-4-w/p-65726?idvariedad=266627&opt=d	Calzado	Zapatillas Trail Running	Mujer
6086	Xa Elevate GTX® W	Salomon 	131.95 €	154.90 €	/salomon-xa-elevate-gtxreg-w/p-102721?idvariedad=409019&opt=d	Calzado	Zapatillas Trail Running	Mujer
6087	Xa Lite GTX W	Salomon 	92.40 €	139.99 €	/salomon-xa-lite-gtx-w/p-74709?idvariedad=299416&opt=d	Calzado	Zapatillas Trail Running	Mujer
6088	Xa Pro 3D W	Salomon 	103.85 €	129.90 €	/salomon-xa-pro-3d-w/p-79400?idvariedad=316105&opt=d	Calzado	Zapatillas Trail Running	Mujer
6089	Speedcross Vario 2 W	Salomon 	78.95 €	114.90 €	/salomon-speedcross-vario-2-w/p-79375?idvariedad=316783&opt=d	Calzado	Zapatillas Trail Running	Mujer
6090	Xa Pro 3D GTX W	Salomon 	104.58 €	144.90 €	/salomon-xa-pro-3d-gtx-w/p-79263?idvariedad=318111&opt=d	Calzado	Zapatillas Trail Running	Mujer
6091	Xa Amphib W	Salomon 	66.03 €	119.90 €	/salomon-xa-amphib-w/p-79266?idvariedad=315873&opt=d	Calzado	Zapatillas Trail Running	Mujer
6092	Challenger ATR 3 W	Hoka One One 	83.19 €	135.00 €	/hoka-one-one-challenger-atr-3-w/p-77543?idvariedad=307978&opt=d	Calzado	Zapatillas Trail Running	Mujer
6093	Endurus Hike GTX W	The North Face 	78.98 €	150.00 €	/the-north-face-endurus-hike-gtx-w/p-81097?idvariedad=324397&opt=d	Calzado	Zapatillas Trail Running	Mujer
6094	Vapor Glove 3 W	Merrell 	74.10 €	100.00 €	/merrell-vapor-glove-3-w/p-84804?idvariedad=339009&opt=d	Calzado	Zapatillas Trail Running	Mujer
6095	Trailbreaker GTX W	Dynafit 	143.91 €	159.90 €	/dynafit-trailbreaker-gtx-w/p-89078?idvariedad=362603&opt=d	Calzado	Zapatillas Trail Running	Mujer
6096	Lite Train W	Salewa 	94.50 €	140.00 €	/salewa-lite-train-w/p-83580?idvariedad=334915&opt=d	Calzado	Zapatillas Trail Running	Mujer
6097	Sense Ride W	Salomon 	103.95 €	129.90 €	/salomon-sense-ride-w/p-102662?idvariedad=408163&opt=d	Calzado	Zapatillas Trail Running	Mujer
6098	Speedcross 4 CS W	Salomon 	119.95 €	144.90 €	/salomon-speedcross-4-cs-w/p-102664?idvariedad=408184&opt=d	Calzado	Zapatillas Trail Running	Mujer
6099	Sense Ride W	Salomon 	110.95 €	129.90 €	/salomon-sense-ride-w/p-102730?idvariedad=409117&opt=d	Calzado	Zapatillas Trail Running	Mujer
6100	Speedcross 4 GTX W	Salomon 	135.95 €	159.90 €	/salomon-speedcross-4-gtx-w/p-102713?idvariedad=408850&opt=d	Calzado	Zapatillas Trail Running	Mujer
6101	Speedcross 4 W	Salomon 	110.95 €	129.90 €	/salomon-speedcross-4-w/p-102659?idvariedad=408108&opt=d	Calzado	Zapatillas Trail Running	Mujer
6102	Sense Escape GTX W	Salomon 	114.95 €	134.90 €	/salomon-sense-escape-gtx-w/p-103059?idvariedad=409829&opt=d	Calzado	Zapatillas Trail Running	Mujer
6103	Sonic Ra W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-w/p-79329?idvariedad=315980&opt=d	Calzado	Zapatillas Trail Running	Mujer
6104	Speedcross Vario 2 GTX W	Salomon 	103.20 €	139.90 €	/salomon-speedcross-vario-2-gtx-w/p-81680?idvariedad=327006&opt=d	Calzado	Zapatillas Trail Running	Mujer
6105	Sonic Ra Pro W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-pro-w/p-102645?idvariedad=407915&opt=d	Calzado	Zapatillas Trail Running	Mujer
6106	Sonic Ra W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-w/p-79430?idvariedad=316161&opt=d	Calzado	Zapatillas Trail Running	Mujer
6107	Xa Elevate W	Salomon 	103.95 €	129.90 €	/salomon-xa-elevate-w/p-102702?idvariedad=408732&opt=d	Calzado	Zapatillas Trail Running	Mujer
6108	Sonic Ra Max W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-max-w/p-79282?idvariedad=315909&opt=d	Calzado	Zapatillas Trail Running	Mujer
6109	Sense Ride W	Salomon 	94.82 €	129.90 €	/salomon-sense-ride-w/p-84866?idvariedad=339119&opt=d	Calzado	Zapatillas Trail Running	Mujer
6110	Sonic Ra W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-w/p-102715?idvariedad=408898&opt=d	Calzado	Zapatillas Trail Running	Mujer
6111	Ultra Pro W	Salomon 	127.95 €	149.90 €	/salomon-ultra-pro-w/p-102648?idvariedad=407946&opt=d	Calzado	Zapatillas Trail Running	Mujer
6112	Endurus TR W	The North Face 	80.84 €	129.90 €	/the-north-face-endurus-tr-w/p-78436?idvariedad=312058&opt=d	Calzado	Zapatillas Trail Running	Mujer
6113	Speedcross 4 W	Salomon 	84.70 €	129.99 €	/salomon-speedcross-4-w/p-71797?idvariedad=290456&opt=d	Calzado	Zapatillas Trail Running	Mujer
6114	Speed Ascent W	Salewa 	79.95 €	130.00 €	/salewa-speed-ascent-w/p-48123?idvariedad=188627&opt=d	Calzado	Zapatillas Trail Running	Mujer
6115	Sonic Ra Pro W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-pro-w/p-79505?idvariedad=316876&opt=d	Calzado	Zapatillas Trail Running	Mujer
6116	Alpine Pro W	Dynafit 	124.95 €	165.00 €	/dynafit-alpine-pro-w/p-87011?idvariedad=351958&opt=d	Calzado	Zapatillas Trail Running	Mujer
6117	Trailbreaker GTX W	Dynafit 	111.10 €	159.90 €	/dynafit-trailbreaker-gtx-w/p-83762?idvariedad=336021&opt=d	Calzado	Zapatillas Trail Running	Mujer
6118	Sense Ride W	Salomon 	94.82 €	129.90 €	/salomon-sense-ride-w/p-84832?idvariedad=339052&opt=d	Calzado	Zapatillas Trail Running	Mujer
6119	Speedcross 4 Wide W	Salomon 	110.95 €	129.90 €	/salomon-speedcross-4-wide-w/p-93144?idvariedad=378588&opt=d	Calzado	Zapatillas Trail Running	Mujer
6120	Alpine Pro W	Dynafit 	139.50 €	155.00 €	/dynafit-alpine-pro-w/p-83549?idvariedad=334659&opt=d	Calzado	Zapatillas Trail Running	Mujer
6121	Xa Lite W	Salomon 	78.95 €	114.99 €	/salomon-xa-lite-w/p-85579?idvariedad=341122&opt=d	Calzado	Zapatillas Trail Running	Mujer
